ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
cssrs_freq_17_2	Integer	N/A	Recommended	Frequency: How many times have you had these thoughts? Recent	1::5	1=Less than once a week; 2=Once a week; 3= 2-5 times a week; 4=Daily or almost daily; 5=Many times each day	N/A
cssrs_duration_18_2	Integer	N/A	Recommended	Duration: When you have the thoughts how long do they last? Recent	1::5	1=Fleeting-A few seconds or minutes; 2=Less than 1 hour/some of the time; 3= 1-4 hours/a lot of the time; 4= 4-8 hours/most of the day; 5=More than 8 hours/persistent/continuous	N/A
cssrs_control_19_2	Integer	N/A	Recommended	Controllability: Could/can you stop thinking about killing yourself or wanting to die if you want to? Recent	1::6	1=Easily able to control thoughts; 2=Can control thoughts with little difficulty; 3=Can control thoughts with some difficulty; 4=Can control thoughts with a lot of difficulty; 5=Unable to control thoughts; 6=Does not attempt to control thoughts (score as 0)	N/A
cssrs_deter_20_2	Integer	N/A	Recommended	Deterrents: Are there things (anyone or anything) that stopped you from wanting to die or acting on thoughts of suicide? Recent	1::6	1=Deterrents definitely stopped you from attempting suicide; 2=Deterrents probably stopped you; 3=Uncertain that deterrents stopped you; 4=Deterrents most likely did not stop you; 5=Deterrents definitely did not stop you; 6=Does not apply (score as 0)	N/A
cssrs_reason_21_2	Integer	N/A	Recommended	Reasons for Ideation: What sort of reasons did you have for thinking about wanting to die or killing yourself?	1::6	"1=Completely to get attention	 revenge or a reaction from others; 2= Mostly to get attention	 revenge or a reaction from others; 3=Equally to get attention	 revenge or a reaction from others and to end/stop the pain; 4=Mostly to end or stop the pain (you could not go on living with the pain or how you were feeling); 5=Completely to end or stop the pain (you could not go on living with the pain or how you were feeling); 6= Does not apply (score as 0)"	N/A
cssrs_descq23	String	500	Recommended	Describe [Actual Attempt]  	N/A	N/A	N/A
cssrs_descq26	String	500	Recommended	Describe [Interrupted Attempt]  	N/A	N/A	N/A
cssrs_descq28	String	500	Recommended	Describe [Aborted/Self-Interrupted Attempt]  	N/A	N/A	N/A
cssrs_descq29_1_2	Integer	N/A	Recommended	Number of preparatory acts in the past 12 months	N/A	N/A	N/A
cssrs_descq30	String	500	Recommended	Describe [Preparatory Acts or Behavior]  	N/A	N/A	N/A
cssrs_lethality_31_1	Integer	N/A	Recommended	Actual Lethality/Medical Damage: Most recent attempt	0::5	"0=No physical damage or very minor physical damage; 1=Minor physical damage; 2=Moderate physical damage (medical attention needed); 3=Moderately sever physical damage	 medical hospitalization and likely intensive care required; 4=Sever physical damage	 medical hospitalization with intensive care required; 5=Death"	N/A
cssrs_lethalitydate_31_1	Date	N/A	Recommended	Date of Most Recent Attempt	N/A	N/A	N/A
cssrs_potentiallethal_32_1	Integer	N/A	Recommended	Potential Lethality: Most Recent Attempt	0::2	0=Behavior not likely to result in injury; 1=Behavior likely to result in injury but not likely to cause death; 2=Behavior likely to result in death despite available medical care	N/A
cssrs_descq9	String	500	Recommended	Describe [Wish to be dead or not wake]	N/A	N/A	N/A
cssrs_descq8	String	500	Recommended	Describe [Non-Specific Suicidal Thoughts]	N/A	N/A	N/A
cssrs_descq10	String	500	Recommended	"Describe [Active Ideation	 method	 no plan/intent] "	N/A	N/A	N/A
cssrs_descq34	String	500	Recommended	"Describe [Active SI	 Some Intent	 No Plan]  "	N/A	N/A	N/A
cssrs_descq14	String	500	Recommended	"Describe [Active SI	 with Plan and Intent] "	N/A	N/A	N/A
cssrs_descq16_1	String	500	Recommended	"Describe [Intensity of Ideation	 Lifetime]"	N/A	N/A	N/A
cssrs_descq16_2	String	500	Recommended	"Describe [Intensity of Ideation	 Recent]"	N/A	N/A	N/A
cssrslifesteps_3	Integer	N/A	Recommended	"Have you ever in your life taken any steps toward making a suicide attempt or preparing to kill yourself? Examples: saving pills	 getting a gun	 giving your things away	 or writing a suicide note."	0;1	0 = No; 1 = Yes	N/A
cssrslifesteps_3a	Integer	N/A	Recommended	"If you have ever in your life taken any steps toward making a suicide attempt or preparing to kill yourself	 was this in the past month?"	0;1	0 = No; 1 = Yes	N/A
cssrslifestart_4	Integer	N/A	Recommended	Have you ever in your life started to do something to end your life but someone or something stopped you before you actually did anything?	0;1	0 = No; 1 = Yes	N/A
cssrslifestart_4a	Integer	N/A	Recommended	"If you have ever in your life started to do something to end your life but someone or something stopped you before you actually did anything	 was this in the past month?"	0;1	0 = No; 1 = Yes	N/A
cssrslifestop_5	Integer	N/A	Recommended	"Have you ever in your life started to do something to end your life but stopped yourself before you actually did anything? Examples: took out pills but didn''t swallow any	 held a gun but changed your mind	 went to the roof but didn''t jump."	0;1	0 = No; 1 = Yes	N/A
cssrslifestop_5a	Integer	N/A	Recommended	"If you have ever in your life started to do something to end your life but stopped yourself before you actually did anything	 was this in the past month?"	0;1	0 = No; 1 = Yes	N/A
cssrsasa_1	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): Have you made a suicide attempt (tried to make yourself not alive anymore)? (Examples: swallowed any pills	 tried to shoot yourself	 cut yourself with intent to die	 hang yourself)"	0;1	0 = No; 1 = Yes	N/A
cssrsasa_2	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Total number of actual suicide attempts	N/A	N/A	N/A
cssrsasa_3	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Days to first attempt from Emergency Department (ED) visit	N/A	N/A	N/A
cssrsasa_4	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Days to first attempt since index hospitalization	N/A	N/A	N/A
cssrsia_1	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Has there been a time when you started to do something to end your life but someone or something stopped you before you actually did anything?	0;1	0 = No; 1 = Yes	N/A
cssrsia_2	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Total number of interrupted attempts	N/A	N/A	N/A
cssrsia_3	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Days to interrupted attempt from Emergency Department (ED) visit	N/A	N/A	N/A
cssrsia_4	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Days to interrupted attempt since index hospitalization	N/A	N/A	N/A
cssrsaa_1	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): Has there been a time when you started to do something to end your life but stopped yourself before you actually did anything? (Examples: took out pills but didn''t swallow any	 held a gun but changed your mind	 went to the roof but didn''t jump)"	0;1	0 = No; 1 = Yes	N/A
cssrsaa_2	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Total number of aborted attempts	N/A	N/A	N/A
cssrsaa_3	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Days to aborted attempt from Emergency Department (ED) visit	N/A	N/A	N/A
cssrsaa_4	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): Days to aborted attempt since index hospitalization	N/A	N/A	N/A
cssrsopacb_1	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): Have you taken any steps toward making a suicide attempt or preparing to kill yourself? (Examples: collecting pills	 getting a gun	 giving your things away	 or writing a suicide note)"	0;1	0 = No; 1 = Yes	N/A
cssrssibwsi_1	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): Did you harm yourself or hurt your body on purpose without any intention of killing yourself (like to relieve stress	 feel better	 get sympathy	 or get something else to happen)?"	0;1	0 = No; 1 = Yes	N/A
cssrslifeatt_1	Integer	N/A	Recommended	"Have you ever in your life made a suicide attempt? Examples: swallowed any pills	 tried to shoot yourself	 cut yourself with wish to die	 hang yourself."	0;1	0 = No; 1 = Yes	N/A
cssrssibwsi_2	Integer	N/A	Recommended	Since the last contact with the study on (timeframe): How many different times did you harm yourself or hurt your body on purpose without ANY intention of killing yourself?	1::3	1 = 1-2 times; 2 = 3-4 times; 3 = 5 or more times	N/A
cssrssibwsi_3a	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): When you harmed yourself or hurt you body on purpose without any intention of killing yourself	 how did you do that: Cutting?"	0;1	0 = No; 1 = Yes	N/A
cssrssibwsi_3b	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): When you harmed yourself or hurt you body on purpose without any intention of killing yourself	 how did you do that: Burning?"	0;1	0 = No; 1 = Yes	N/A
cssrssibwsi_3c	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): When you harmed yourself or hurt you body on purpose without any intention of killing yourself	 how did you do that: Scratching?"	0;1	0 = No; 1 = Yes	N/A
cssrssibwsi_3d	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): When you harmed yourself or hurt you body on purpose without any intention of killing yourself	 how did you do that: Hitting self?"	0;1	0 = No; 1 = Yes	N/A
cssrssibwsi_3e	Integer	N/A	Recommended	"Since the last contact with the study on (timeframe): When you harmed yourself or hurt you body on purpose without any intention of killing yourself	 how did you do that: Other?"	0;1	0 = No; 1 = Yes	N/A
cssrslifeatt_1a	Integer	N/A	Recommended	"If you have ever in your life made a suicide attempt	 how many times in your life?"	N/A	Number of times	N/A
cssrslifeatt_1b	Integer	N/A	Recommended	"If you have ever in your life made a suicide attempt	 was this in the past month?"	0;1	0 = No; 1 = Yes	N/A
cssrslifeatt_1c	Integer	N/A	Recommended	"If you have not made a suicide attempt in the past month	 what is the date of your most recent suicide attempt?"	1::4	1 = Within last year but not month; 2 = More than one year ago; 3 = Don''t know; 4 = Missing	N/A
cssrslifeharm_2	Integer	N/A	Recommended	"Have you ever in your life tried to harm yourself because you were at least partly trying to end your life? Examples: swallowed any pills	 tried to shoot yourself	 cut yourself with wish to die	 hang yourself."	0;1	0 = No; 1 = Yes	N/A
cssrslifeharm_2a	Integer	N/A	Recommended	"If you have ever in your life tried to harm yourself because you were at least partly trying to end your life	 how many times in your life?"	N/A	Number of times	N/A
cssrslifeharm_2b	Integer	N/A	Recommended	"If you have ever in your life tried to harm yourself because you were at least partly trying to end your life	 was this in the past month?"	0;1	0 = No; 1 = Yes	N/A
si6l	String	100	Recommended	How long ago did you do any of these? Over a year ago? Between three months and a year ago? Within the last three months?	N/A	N/A	N/A
cssrs13_1	Integer	N/A	Recommended	"Has there been a time when you started to do something to end your life but someone or something stopped you before you actually did anything (e.g.	 you had the pills in your hand but a friend stopped you from taking them)? How many times has this happened?"	0::30	Number of times	N/A
cssrs14	Integer	N/A	Recommended	"Has there been a time when you started to do something to try to end your life but you stopped yourself before you actually did anything (e.g.	 you took out pills but then changed your mind before you could swallow any of them)?"	0;1	0=No;1=Yes	N/A
cssrs14_1	Integer	N/A	Recommended	"Has there been a time when you started to do something to try to end your life but you stopped yourself before you actually did anything (e.g.	 you took out pills but then changed your mind before you could swallow any of them)? How many times has this happened?"	0::30	Number of times	N/A
cssrs15	Integer	N/A	Recommended	"Have you taken any steps towards making a suicide attempt or preparing to kill yourself (e.g.	 collecting pills	 getting a gun	 giving valuables away or writing a suicide note)?"	0;1	0=No;1=Yes	N/A
cssrs15_1	String	100	Recommended	"Have you taken any steps towards making a suicide attempt or preparing to kill yourself (e.g.	 collecting pills	 getting a gun	 giving valuables away or writing a suicide note)? What have you done?"	N/A	N/A	N/A
cssrs16	Date	N/A	Recommended	What was the date of your most lethal or potentially lethal attempt? 	N/A	MM/DD/YYYY	N/A
cssrs16_1	String	100	Recommended	What was the date of your most lethal or potentially lethal attempt?  Describe what you did on that date:	N/A	N/A	N/A
cssrs16_2	Integer	N/A	Recommended	"What was the date of your most lethal or potentially lethal attempt? On that date	 please rate your medical damage from 0-4."	0::4	"0 = No physical damage or very minor physical damage; 1 = Minor physical damage; 2 = Moderate physical damage	 medical attention needed; 3 = Moderately severe physical damage	 medical hospitalization and likely intensive care required; 4 = Severe physical damage	 medical hospitalization with intensive care required"	N/A
cssrs6	Integer	N/A	Recommended	How many days a week did you have these thoughts?	1::5	1 = Less than 1 day a week; 2 = One day a week; 3 = 2-3 days a week; 4 = 4-5 days a week; 5 = 6-7 days a week	N/A
cssrs8	Integer	N/A	Recommended	How easy was it for you to control these thoughts or push them out of your mind when you wanted to?	1::6	1 = Easy; 2 = A little difficult; 3 = Somewhat difficult; 4 = Very difficult; 5 = Impossible; unable to control the thoughts; 6 = Didn''t attempt to control thoughts	N/A
cssrs9	Integer	N/A	Recommended	"Are there things - anyone or anything (e.g.	 family	 religion	 pain of death) - that stopped you from wanting to die or acting on thoughts of committing suicide?"	1::6	1 = Deterrents definitely stopped me from attempting suicide; 2 = Deterrents probably stopped me; 3 = Uncertain that deterrents stopped me; 4 = Deterrents most likely did not stop me; 5 = Deterrents definitely did not stop me; 6 = Does not apply	N/A
cssrs11	Integer	N/A	Recommended	Have you made a suicide attempt or done anything to harm yourself because you wanted to die (even if you were not totally sure you wanted to die or just wanted to die a little bit)?	0;1	0=No;1=Yes	N/A
cssrs11_1	Integer	N/A	Recommended	Have you made a suicide attempt or done anything to harm yourself because you wanted to die (even if you were not totally sure you wanted to die or just wanted to die a little bit)? How many times has this happened?	0::30	Number of times	N/A
cssrs12	Integer	N/A	Recommended	"Have you done anything to harm yourself purely for other reasons	 without any intent to die (like to relieve stress	 feel better	 get sympathy	 or get something else to happen)?"	0;1	0=No;1=Yes	N/A
cssrs13	Integer	N/A	Recommended	"Has there been a time when you started to do something to end your life but someone or something stopped you before you actually did anything (e.g.	 you had the pills in your hand but a friend stopped you from taking them)?"	0;1	0=No;1=Yes	N/A
cssrs_selfharm	Integer	N/A	Recommended	Have you done anything to harm yourself?	0;1	0 = No; 1 = Yes	N/A
cssrs_danger	Integer	N/A	Recommended	Have you done anything dangerous where you could have died?	0;1	0 = No; 1 = Yes	N/A
cssrs_nonsuicidal	Integer	N/A	Recommended	Has subject engaged in non-suicidal self-injurious behavior?	0;1	0 = No; 1 = Yes	N/A
subjectkey	GUID	N/A	Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*	N/A	"medhx_guidid	ndar_ctq	pseduo_guids	pseudo_guids	z1"
src_subject_id	String	20	Required	Subject ID how it's defined in lab/project	N/A	N/A	"clinical_barcode	id	participantid	record_id	subject_id	z2"
interview_date	Date	N/A	Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY	N/A	N/A	"bl_visit_date	childhood_trauma_questionnaire_ctq_timestamp	data_trauma_assessment	date_ctq	dateformcompletiondate	interview_dt_t1	interview_dt_t2	interview_dt_t3	interview_dt_t4	v2_ctq_date	z3"
interview_age	Integer	N/A	Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	"age_ctq	age_months	age_t1_mos	age_t2_mos	age_t3_mos	age_t4_mos	ch_age	medhx_age_months	v2_ctq_age	z4"
sex	String	20	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"ch_sex	gender	gender_ctq	gender_t1	gender_t2	gender_t3	gender_t4	sex	z5"
ctq_01	Integer	N/A	Recommended	1.  I didn't have enough to eat.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"ctq001	ctq1	ctq1_1	ctq1_t3	ctq28_q01	ctq_1	ctq_no_food	ctq_q1	ctq_sf_21	enoughtoeat	i_didn_t_have_enough_to_ea	q2_1	q93_1	t1ctq1	v2_ctq_1eat"
ctq_02	Integer	N/A	Recommended	2.  I knew there was someone to take care of me and protect me. (Reverse Scoring)	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"childhoodcareprotect	ctq002	ctq1_2	ctq2	ctq28_q02	ctq2_t3	ctq_2	ctq_parental_care	ctq_q2	ctq_sf_22	i_knew_that_there_was_some	q2_2	q93_2	rctq2_t3	someonetotakecare	t1ctq2	v2_ctq_2careprotect"
ctq_03	Integer	N/A	Recommended	"3.  People in my family called me things like ""stupid""	 ""lazy""	 or ""ugly""."	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"childhoodbullying	ctq003	ctq1_3	ctq28_q03	ctq3	ctq3_t3	ctq_3	ctq_name_calling	ctq_q3	ctq_sf_01	namecalling	people_in_my_family_called	q2_3	q93_3	t1ctq3	v2_ctq_3callnames"
ctq_04	Integer	N/A	Recommended	4.  My parents were too drunk or high to take care of the family.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"ctq004	ctq1_4	ctq28_q04	ctq4	ctq4_t3	ctq_4	ctq_parent_drunk	ctq_q4	ctq_sf_23	my_parents_were_too_drunk	parentsdrunkhigh	q2_4	q93_4	t1ctq4	v2_ctq_4parentsdrunk"
ctq_05	Integer	N/A	Recommended	5.  There was someone special in my family who helped me feel that I was important and special. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"childhoodfeelspecial	ctq005	ctq1_5	ctq28_q05	ctq5	ctq5_t3	ctq_5	ctq_q5	ctq_sf_17	feelimportant	q2_5	q93_5	rctq5_t3	t1ctq5	there_was_someone_in_my_fa	v2_ctq_5feelspecial"
ctq_06	Integer	N/A	Recommended	6.  I had to wear dirty clothes.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"ctq006	ctq1_6	ctq28_q06	ctq6	ctq6_t3	ctq_6	ctq_dirty_clothes	ctq_q6	ctq_sf_24	i_had_to_wear_dirty_clothe	q3_1	q94_1	t1ctq6	v2_ctq_6dirtyclothes	woredirtyclothes"
ctq_07	Integer	N/A	Recommended	7.  I felt loved. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"childhoodfeltloved	ctq007	ctq1_7	ctq28_q07	ctq7	ctq7_t3	ctq_7	ctq_feel_loved	ctq_q7	ctq_sf_16	feltloved	i_felt_loved	q3_2	q94_2	rctq7_t3	t1ctq7	v2_ctq_7loved"
ctq_08	Integer	N/A	Recommended	8.  I thought my parents wished I had never been born.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ2_8	ctq008	ctq28_q08	ctq8	ctq8_t3	ctq_8	ctq_never_born	ctq_q8	ctq_sf_02	i_thought_that_my_parents	q3_3	q94_3	t1ctq8	v2_ctq_8neverborn	wishneverborn"
ctq_09	Integer	N/A	Recommended	9.  I got hit so hard by someone	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ2_9	ctq009	ctq28_q09	ctq9	ctq_9	ctq_hit_by_family_hosp	ctq_q9	hithard	i_got_hit_so_hard_by_someo	q3_4	q94_4	t1ctq9	v2_ctq_9hithard_hospital"
ctq_10	Integer	N/A	Recommended	10.  There was nothing I wanted to change about my family.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ2_10	ctq0010	ctq10	ctq10_t3	ctq28_q10	ctq_family_no_change	ctq_q10	ctq_q12	here_was_nothing_i_wanted	nothingchangeaboutfamily	q3_5	q94_5	t1ctq10	there_was_nothing_i_wanted	v2_ctq_10nochange"
ctq_11	Integer	N/A	Recommended	11.  People in my family hit me so hard that it left me with bruises or marks.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ2_11	childhoodbruises	ctq0011	ctq11	ctq11_t3	ctq28_q11	ctq_family_bruises	ctq_q10	ctq_q11	ctq_sf_07	gotbruises	people_in_my_family_hit_me	q4_1	q95_1	t1ctq11	v2_ctq_11hit_bruises"
ctq_12	Integer	N/A	Recommended	"12.  I was punished with a belt	 a board	 a cord	 or some other hard object."	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ2_12	ctq0012	ctq12	ctq12_t3	ctq28_q12	ctq_punished_belt	ctq_q11	ctq_q12	ctq_sf_08	i_was_punished_with_a_belt	punished	q4_2	q95_2	t1ctq12	v2_ctq_12punished_object"
ctq_13	Integer	N/A	Recommended	13.  People in my family looked out for each other. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ2_13	ctq0013	ctq13	ctq13_t3	ctq28_q13	ctq_family_look_out_for	ctq_q13	ctq_sf_18	lookoutforfamily	people_in_my_family_looked	q4_3	q95_3	rctq13_t3	t1ctq13	v2_ctq_13family_lookedout"
ctq_14	Integer	N/A	Recommended	14.  People in my family said hurtful or insulting things to me.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ2_14	childhoodinsults	ctq0014	ctq14	ctq14_t3	ctq28_q14	ctq_family_insults	ctq_q14	ctq_sf_04	people_in_my_family_said_h	q4_4	q95_4	saidhurtfulthings	t1ctq14	v2_ctq_14family_insult"
ctq_15	Integer	N/A	Recommended	15.  I believe that I was physically abused.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_15	childhoodphysicallyabused	ctq0015	ctq15	ctq15_t3	ctq28_q15	ctq_phys_abuse	ctq_q15	ctq_sf_09	i_believed_that_i_was_phys	physicallyabused	q4_5	q95_5	t1ctq15	v2_ctq_15physical_abuse"
ctq_16	Integer	N/A	Recommended	16.  I had the perfect childhood.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_16	ctq0016	ctq16	ctq16_t3	ctq28_q16	ctq_perfect_childhood	ctq_q16	ctq_q21	i_had_the_perfect_childhoo	perfectchildhood	q5_1	q96_1	t1ctq16	v2_ctq_16perfect_childhood"
ctq_17	Integer	N/A	Recommended	"17.  I got hit or beaten so badly that it was noticed by someone like a teacher	 neighbor	 or doctor."	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_17	ctq0017	ctq17	ctq17_t3	ctq28_q17	ctq_beaten_notice_doctor	ctq_q16	ctq_q17	ctq_sf_10	i_got_hit_or_beaten_so_bad	noticedbysomeone	q5_2	q96_2	t1ctq17	v2_ctq_17hit_noticed"
ctq_18	Integer	N/A	Recommended	18.  I felt that someone in my family hated me.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_18	ctq0018	ctq18	ctq18_t3	ctq28_q18	ctq_family_hated_me	ctq_q17	ctq_q18	ctq_sf_03	hatedbysomeone	i_felt_that_someone_in_my	q5_3	q96_3	t1ctq18	v2_ctq_18family_hate"
ctq_19	Integer	N/A	Recommended	19.  People in my family felt close to each other. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_19	ctq0019	ctq19	ctq19_t3	ctq28_q19	ctq_family_felt_close	ctq_q18	ctq_q19	ctq_sf_19	familyfeltclose	people_in_my_family_felt_c	q5_4	q96_4	rctq19_t3	t1ctq19	v2_ctq_19family_close"
ctq_20	Integer	N/A	Recommended	"20.  Someone tried to touch me in a sexual way	 or tried to make me touch them."	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_20	ctq0020	ctq20	ctq20_t3	ctq28_q20	ctq_q19	ctq_q20	ctq_sexual_touch	ctq_sf_11	q5_5	q96_5	someone_tried_to_touch_me	t1ctq20	touchedsexually	v2_ctq_20touch_sexual"
ctq_21	Integer	N/A	Recommended	21.  Someone threatened to hurt me or tell lies about me unless I did something sexual with them.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_21	ctq0021	ctq21	ctq21_t3	ctq28_q21	ctq_q20	ctq_q21	ctq_sex_abuse_threatened	ctq_sf_12	q6_1	q97_1	someone_threatened_to_hurt	t1ctq21	threatenedsexualacts	v2_ctq_21threaten_sexual"
ctq_22	Integer	N/A	Recommended	22.  I had the best family in the world.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_22	bestfamily	ctq0022	ctq22	ctq22_t3	ctq28_q22	ctq_best_family_world	ctq_q22	ctq_q26	i_had_the_best_family_in_t	q6_2	q97_2	t1ctq22	v2_ctq_22bestfamily"
ctq_23	Integer	N/A	Recommended	23.  Someone tried to make me do sexual things or watch sexual things.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_23	childhoodsexualthings	ctq0023	ctq23	ctq23_t3	ctq28_q23	ctq_q22	ctq_q23	ctq_sf_13	ctq_watch_sexual_things	q6_3	q97_3	someone_tried_to_make_me_d	t1ctq23	triedtodosexualthings	v2_ctq_23makewatch_sexual"
ctq_24	Integer	N/A	Recommended	24.  Someone molested me.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_24	childhoodmolested	ctq0024	ctq24	ctq24_t3	ctq28_q24	ctq_q23	ctq_q24	ctq_sf_14	molested	q6_4	q97_4	someone_molested_me	t1ctq24	v2_ctq_24molested"
ctq_25	Integer	N/A	Recommended	25.  I believe that I was emotionally abused.	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_25	childhoodemotionallyabused	ctq0025	ctq25	ctq25_t3	ctq28_q25	ctq_emotional_abuse	ctq_q24	ctq_q25	ctq_sf_05	emotionallyabused	i_believe_that_i_was_emoti	q6_5	q97_5	t1ctq25	v2_ctq_25emo_abused"
ctq_26	Integer	N/A	Recommended	26.  There was someone to take me to the doctor if I needed it. (Reverse Scoring)	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_26	childhoodtaketodoctor	ctq0026	ctq26	ctq26_t3	ctq28_q26	ctq_q25	ctq_q26	ctq_sf_25	ctq_taken_to_doctor_reg	q7_1	q98_1	rctq26_t3	t1ctq26	takentodoctor	there_was_someone_to_take	v2_ctq_26taketodoctor"
