	ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
1537	ctq_18	Integer		Recommended	18.  I felt that someone in my family hated me.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_18	ctq0018	ctq18	ctq18_t3	ctq28_q18	ctq_family_hated_me	ctq_q17	ctq_q18	ctq_sf_03	hatedbysomeone	i_felt_that_someone_in_my	q5_3	q96_3	t1ctq18	v2_ctq_18family_hate"
1538	ctq_19	Integer		Recommended	19.  People in my family felt close to each other. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_19	ctq0019	ctq19	ctq19_t3	ctq28_q19	ctq_family_felt_close	ctq_q18	ctq_q19	ctq_sf_19	familyfeltclose	people_in_my_family_felt_c	q5_4	q96_4	rctq19_t3	t1ctq19	v2_ctq_19family_close"
1539	ctq_20	Integer		Recommended	"20.  Someone tried to touch me in a sexual way	 or tried to make me touch them."	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_20	ctq0020	ctq20	ctq20_t3	ctq28_q20	ctq_q19	ctq_q20	ctq_sexual_touch	ctq_sf_11	q5_5	q96_5	someone_tried_to_touch_me	t1ctq20	touchedsexually	v2_ctq_20touch_sexual"
1540	ctq_21	Integer		Recommended	21.  Someone threatened to hurt me or tell lies about me unless I did something sexual with them.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ3_21	ctq0021	ctq21	ctq21_t3	ctq28_q21	ctq_q20	ctq_q21	ctq_sex_abuse_threatened	ctq_sf_12	q6_1	q97_1	someone_threatened_to_hurt	t1ctq21	threatenedsexualacts	v2_ctq_21threaten_sexual"
1541	ctq_22	Integer		Recommended	22.  I had the best family in the world.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_22	bestfamily	ctq0022	ctq22	ctq22_t3	ctq28_q22	ctq_best_family_world	ctq_q22	ctq_q26	i_had_the_best_family_in_t	q6_2	q97_2	t1ctq22	v2_ctq_22bestfamily"
1542	ctq_23	Integer		Recommended	23.  Someone tried to make me do sexual things or watch sexual things.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_23	childhoodsexualthings	ctq0023	ctq23	ctq23_t3	ctq28_q23	ctq_q22	ctq_q23	ctq_sf_13	ctq_watch_sexual_things	q6_3	q97_3	someone_tried_to_make_me_d	t1ctq23	triedtodosexualthings	v2_ctq_23makewatch_sexual"
1543	ctq_24	Integer		Recommended	24.  Someone molested me.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_24	childhoodmolested	ctq0024	ctq24	ctq24_t3	ctq28_q24	ctq_q23	ctq_q24	ctq_sf_14	molested	q6_4	q97_4	someone_molested_me	t1ctq24	v2_ctq_24molested"
1544	ctq_25	Integer		Recommended	25.  I believe that I was emotionally abused.	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_25	childhoodemotionallyabused	ctq0025	ctq25	ctq25_t3	ctq28_q25	ctq_emotional_abuse	ctq_q24	ctq_q25	ctq_sf_05	emotionallyabused	i_believe_that_i_was_emoti	q6_5	q97_5	t1ctq25	v2_ctq_25emo_abused"
1545	ctq_26	Integer		Recommended	26.  There was someone to take me to the doctor if I needed it. (Reverse Scoring)	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_26	childhoodtaketodoctor	ctq0026	ctq26	ctq26_t3	ctq28_q26	ctq_q25	ctq_q26	ctq_sf_25	ctq_taken_to_doctor_reg	q7_1	q98_1	rctq26_t3	t1ctq26	takentodoctor	there_was_someone_to_take	v2_ctq_26taketodoctor"
1546	ctq_27	Integer		Recommended	27.  I believe that I was sexually abused.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_27	childhoodsexuallyabused	ctq0027	ctq27	ctq27_t3	ctq28_q27	ctq_believe_sex_abuse	ctq_q27	ctq_sf_15	i_believe_that_i_was_sexua	q7_2	q98_2	sexuallyabused	t1ctq27	v2_ctq_27sexual_abuse"
1547	ctq_28	Integer		Recommended	28.  My family was a source of strength and support. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_28	ctq0028	ctq28	ctq28_q28	ctq28_t3	ctq_family_source_strength	ctq_q28	ctq_sf_20	my_family_was_a_source_of	q7_3	q98_3	rctq28_t3	strengthandsupport	t1ctq28	v2_ctq_28strength"
1548	ctqscore_ea	Float		Recommended	Emotional Abuse		"sums: 3	8	14	18	25	31"	"ctq28_emotionalabuse	ctq_emoabuse_score	ctq_emotabuse	ctq_emotional_abuse	ctqemo_t3	t1ctq_eax4a"
1549	ctqscore_en	Float		Recommended	Emotional Neglect		"sums: 5	7	13	19	28	30"	"ctq28_emotionalneglect	ctq_emoneglect_score	ctq_emotional_neglect	ctq_emotneg	ctqemoneg_t3	t1ctq_enx4a"
1550	ctqscore_pa	Float		Recommended	Physical Abuse		"sums: 9	11	12	15	17	29"	"ctq28_physicalabuse	ctq_physabuse	ctq_physabuse_score	ctq_physical_abuse	ctqphys_t3	t1ctq_pax4a"
1551	ctqscore_pn	Float		Recommended	Physical Neglect		"sums: 1	2	4	6	26"	"ctq28_physicalneglect	ctq_physical_neglect	ctq_physneg	ctq_physneglect_score	ctqphysneg_t3	t1ctq_pnx4a"
1552	ctqscore_sa	Float		Recommended	"Sexual Abuse
"		"sums: 20	21	23	24	27"	"ctq28_sexualabuse	ctq_sexabuse_score	ctq_sexual_abuse	ctq_sexualabuse	ctqsexual_t3	t1ctq_sax4a"
1553	ctqscore_val	Float		Recommended	Validity		"sums: 10	16	22"	"ctq28_minimizationdenial	ctq_denial"
1567	version_form	String	121.0	Recommended	Form used/assessment name			
1582	completed	Integer		Recommended	Checks if completed	0::3	"0=No; 1=Yes; 2=Yes	 lost; 3=Unverified"	finished
1585	respondent	String	20.0	Recommended	Respondent	Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA	NA=Not Applicable	
1648	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		
1649	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			record_id
1650	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	
1651	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			visit_date
1652	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	gender
1653	dass_1	Integer		Recommended	I found it hard to wind down	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass1	dass21_1	dass22	dass_1s	dass_22a"
1654	dass_2	Integer		Recommended	I was aware of dryness of my mouth	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass2	dass21_2	dass_2a"
1655	dass_3	Integer		Recommended	I couldn't seem to experience any positive feeling at all	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass21_3	dass3	dass_3d"
1656	dass_4	Integer		Recommended	"I experienced breathing difficulty (eg	 excessively rapid breathing	breathlessness in the absence of physical exertion)"	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass21_4	dass4	dass_4a"
1657	dass_5	Integer		Recommended	I found it difficult to work up the initiative to do things	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass21_5	dass42	dass5	dass_42a	dass_5d"
1658	dass_6	Integer		Recommended	I tended to over-react to situations	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass21_6	dass6	dass_6s"
1659	dass_7	Integer		Recommended	"I experienced trembling (eg	 in the hands)"	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass21_7	dass41	dass7	dass_41a	dass_7a"
1660	dass_8	Integer		Recommended	I felt that I was using a lot of nervous energy	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass12	dass21_8	dass8	dass_12a	dass_8s"
1661	dass_9	Integer		Recommended	I was worried about situations in which I might panic and make a fool of myself	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass21_9	dass40	dass9	dass_40a	dass_9a"
1662	dass_10	Integer		Recommended	I felt that I had nothing to look forward to	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass10	dass21_10	dass_10d"
1663	dass_11	Integer		Recommended	I found myself getting agitated	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass11	dass21_11	dass39	dass_11s	dass_39a"
1664	dass_12	Integer		Recommended	I found it difficult to relax	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass12	dass21_12	dass8	dass_12s	dass_8a"
1665	dass_13	Integer		Recommended	I felt down-hearted and blue	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass13	dass21_13	dass26	dass_13d	dass_26a"
1666	dass_14	Integer		Recommended	I was intolerant of anything that kept me from getting on with what I was doing	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass14	dass21_14	dass35	dass_14s	dass_32a"
1667	dass_15	Integer		Recommended	I felt I was close to panic	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass15	dass21_15	dass28	dass_15a	dass_28a"
1668	dass_16	Integer		Recommended	I was unable to become enthusiastic about anything	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass16	dass21_16	dass31	dass_16d	dass_31a"
1669	dass_17	Integer		Recommended	I felt I wasn't worth much as a person	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass17	dass21_17	dass_17d"
1670	dass_18	Integer		Recommended	I felt that I was rather touchy	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass18	dass21_18	dass_18s"
1671	dass_19	Integer		Recommended	"I was aware of the action of my heart in the absence of physical exertion (eg	 sense of heart rate increase	 heart missing a beat)"	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass19	dass21_19	dass25	dass_19a	dass_25a"
1672	dass_20	Integer		Recommended	I felt scared without any good reason	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass20	dass21_20	dass_20a"
1673	dass_21	Integer		Recommended	I felt that life was meaningless	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass21	dass21_21	dass38	dass_21d	dass_38a"
1674	dass_depr_sc	Integer		Required	Depression score		0-9=Normal; 10-13=Mild; 14-20=Moderate; 21-27=Severe; 28+=Extremely Severe; -999 = N/A or Missing	"dass21_depression	dass_depression"
1675	dass_anx_sc	Integer		Required	Anxiety score		0-7=Normal; 8-9=Mild; 10-14=Moderate; 15-19=Severe; 20+=Extremely Severe; -999 = N/A or Missing	"dass21_anxiety	dass_anxiety"
1676	dass_stress_sc	Integer		Required	Stress score		0-14=Normal; 15-18=Mild; 19-25=Moderate; 26-33=Severe; 34+=Extremely Severe; -999 = N/A or Missing; -99=N/A	"dass21_stress	dass_stress"
1677	dass_22	Integer		Recommended	I found myself getting upset by quite trivial things	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass1	dass_1a"
1678	afars_13	Integer		Recommended	I have trouble swallowing	0::3; 99	0=Never true; 1=Sometimes true; 2=Most time true; 3=Always true; 99=N/A	"dass23	dass_23"
1679	dass_24	Integer		Recommended	I couldn't seem to get any enjoyment out of the things I did	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	dass24
1680	dass_25	Integer		Recommended	"I perspired noticeably (eg	 hands sweaty) in the absence of high temperatures or physical exertion"	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass19	dass_19a"
1681	dass_26	Integer		Recommended	I felt sad and depressed	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass13	dass_13a"
1682	dass_27	Integer		Recommended	I found that I was very irritable	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	dass27
1683	dass_28	Integer		Recommended	I had a feeling of faintness	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass15	dass_15a"
1684	afars_26	Integer		Recommended	I cant calm down once I am upset	0::3; 99	0=Never true; 1=Sometimes true; 2=Most time true; 3=Always true; 99=N/A	"dass29	dass_29"
1685	dass_30	Integer		Recommended	"I feared that I would be ""thrown"" by some trivial but unfamiliar task"	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	dass30
1686	dass_31	Integer		Recommended	I felt that I had lost interest in just about everything	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass16	dass_16a"
1687	dass_32	Integer		Recommended	I found it difficult to tolerate interruptions to what I was doing	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	dass32
1688	dass_33	Integer		Recommended	I was in a state of nervous tension	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	dass33
1689	dass_34	Integer		Recommended	I felt I was pretty worthless	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	dass34
1690	dass_35	Integer		Recommended	"I found myself getting impatient when I was delayed in any way (eg	 lifts	 traffic lights	 being kept waiting)"	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass14	dass_14a"
1691	dass_36	Integer		Recommended	I felt terrified	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	dass36
1692	dass_37	Integer		Recommended	I could see nothing in the future to be hopeful about	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	dass37
1693	dass_38	Integer		Recommended	I felt that life wasn't worthwhile	0::3; 999; 99	"0=Did not apply to me at all -NEVER; 1=Applied to me to some degree	 or some of the time SOMETIMES; 2=Applied to me to a considerable degree	 or a good part of time -OFTEN; 3=Applied to me very much	 or most of the time ALMOST ALWAYS; 999=not answered/missing; 99=N/A"	"dass21	dass_21a"
1694	afars_4	Integer		Recommended	I get upset easily	0::3; 999; 99	0=Never true; 1=Sometimes true; 2=Most time true; 3=Always true;  999=not answered/missing; 99=N/A	"dass11	dass_11a"
1698	version_form	String	121.0	Recommended	Form used/assessment name			
1701	qc_dass_dep_num_items	Integer		Recommended	Quality Control (QC) DASS Depression subscale Total number of items			
1702	qc_dass_dep_num_nonresp	Integer		Recommended	Quality Control (QC) DASS Depression subscale number of non-response items			
1703	qc_dass_anx_num_items	Integer		Recommended	Quality Control (QC) DASS Anxiety subscale Total number of items			
1704	qc_dass_anx_num_nonresp	Integer		Recommended	Quality Control (QC) DASS Anxiety subscale number of non-response items			
1705	qc_dass_stress_num_items	Integer		Recommended	Quality Control (QC) DASS Stress subscale Total number of items			
1706	qc_dass_stress_num_nonresp	Integer		Recommended	Quality Control (QC) DASS Stress subscale number of non-response items			
1707	time_first_click	String	11.0	Recommended	Time at first click		HH:MM:SS AM/PM	dass_time_first_click
1708	time_last_click	String	11.0	Recommended	Time at last click		HH:MM:SS AM/PM	dass_time_last_click
1709	time_page_submit	String	11.0	Recommended	Time at scale submission		HH:MM:SS AM/PM	dass_time_page_submit
1710	time_click_count	Integer		Recommended	(Total) Number of clicks during scale completion			dass_time_click_count
1711	tot_timing	Float		Recommended	Total timing/time to complete scale		In minutes	dass_tot_timing
1712	qc_tot_num_items	Integer		Recommended	Quality Control (QC) (total) number of items (completed)			dass_tot_num_items
1713	qc_tot_num_nonresp	Integer		Recommended	Quality Control (QC) (total) number of non-response items			qc_dass_tot_num_nonresp
1744	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		
1745	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			record_id
1746	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			
1747	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	
1748	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	gender
1750	rt_1	Integer		Recommended	Admitting that your tastes are different from those of a friend. (S)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1751	rt_2	Integer		Recommended	Going camping in the wilderness. (R)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1752	rt_3	Integer		Recommended	Betting a day's income at the horse races. (F/G)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1753	rt_4	Integer		Recommended	Investing 10% of your annual income in a moderate growth diversified fund. (F/I)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1754	rt_5	Integer		Recommended	Drinking heavily at a social function. (H/S)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1755	rt_6	Integer		Recommended	Taking some questionable deductions on your income tax return. (E)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1756	rt_7	Integer		Recommended	Disagreeing with an authority figure on a major issue. (S)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1757	rt_8	Integer		Recommended	Betting a day's income at a high-stake poker game. (F/G)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1758	rt_9	Integer		Recommended	Having an affair with a married man/woman. (E)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1759	rt_10	Integer		Recommended	Passing off somebody else's work as your own. (E)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1760	rt_11	Integer		Recommended	Going down a ski run that is beyond your ability. (R)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1761	rt_12	Integer		Recommended	Investing 5% of your annual income in a very speculative stock. (F/I)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1762	rt_13	Integer		Recommended	Going whitewater rafting at high water in the spring. (R)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
1763	rt_14	Integer		Recommended	Betting a day's income on the outcome of a sporting event  (F/G)	1::7	1 = Extremely Unlikely; 2 = Moderately Unlikely; 3 = Somewhat Unlikely; 4 = Not Sure; 5 = Somewhat Likely; 6 = Moderately Likely; 7 = Extremely Likely	
